year,month,day,time,second,lat,lon,depth,mag,city
2022,3,27,00:03,7.9,37°41.6'N,141°32.8'E,54,1.3,福島県沖
2022,3,27,00:03,41.4,35°11.7'N,135°6.1'E,14,0.7,兵庫県南東部
2022,3,27,00:06,48.6,37°51.0'N,141°34.5'E,49,1.8,福島県沖
2022,3,27,00:08,50.3,43°26.0'N,142°31.6'E,8,1.3,上川地方南部
2022,3,27,00:11,57.1,37°46.7'N,141°38.6'E,53,1.6,福島県沖
2022,3,27,00:13,13.8,35°29.9'N,139°17.3'E,22,0.8,神奈川県西部
2022,3,27,00:13,37.2,37°44.0'N,141°32.9'E,51,1.3,福島県沖
2022,3,27,00:14,21.5,26°46.7'N,126°21.6'E,31,2.6,沖縄本島北西沖
2022,3,27,00:16,28.3,37°57.5'N,141°48.4'E,53,0.8,宮城県沖
2022,3,27,00:17,7.7,37°44.9'N,141°34.2'E,52,1.3,福島県沖

2022,3,27,00:17,26.9,32°38.8'N,130°40.2'E,8,0.9,熊本県熊本地方
2022,3,27,00:18,37.2,35°51.5'N,140°0.4'E,106,1.7,千葉県北西部
2022,3,27,00:19,15.7,37°48.2'N,141°39.6'E,56,1.5,福島県沖
2022,3,27,00:19,35.9,41°7.3'N,142°50.8'E,20,2.0,青森県東方沖
2022,3,27,00:20,29.7,35°23.2'N,134°13.0'E,6,-0.1,鳥取県東部
2022,3,27,00:20,36.5,37°43.7'N,141°36.0'E,57,1.3,福島県沖
2022,3,27,00:23,15.7,37°45.6'N,141°38.9'E,57,-,福島県沖
2022,3,27,00:23,21.9,37°49.1'N,141°37.8'E,51,1.6,福島県沖
2022,3,27,00:26,18.3,34°58.2'N,137°36.8'E,40,0.8,愛知県東部
2022,3,27,00:28,39.4,37°30.2'N,137°15.0'E,12,1.1,石川県能登地方

2022,3,27,00:29,5.3,34°46.3'N,137°28.5'E,37,1.7,愛知県東部
2022,3,27,00:31,6.3,28°46.8'N,128°22.7'E,19,1.9,奄美大島北西沖
2022,3,27,00:31,17.6,37°46.5'N,141°38.9'E,54,1.7,福島県沖
2022,3,27,00:34,14.6,32°34.1'N,132°0.3'E,35,1.0,日向灘
2022,3,27,00:37,28.4,26°46.9'N,126°18.8'E,21,3.4,沖縄本島北西沖
2022,3,27,00:38,52.7,26°47.8'N,126°22.6'E,27,5.6,沖縄本島北西沖
2022,3,27,00:38,54.9,38°46.5'N,141°43.7'E,55,1.4,宮城県沖
2022,3,27,00:39,44.2,38°47.2'N,141°42.8'E,51,0.5,宮城県沖
2022,3,27,00:40,9.2,37°51.6'N,141°37.4'E,49,1.7,福島県沖
2022,3,27,00:40,17.4,40°1.2'N,141°54.3'E,7,0.9,岩手県沿岸北部

2022,3,27,00:40,57.8,37°45.9'N,141°34.8'E,52,1.6,福島県沖
2022,3,27,00:44,36.3,32°13.7'N,130°58.3'E,13,1.3,熊本県球磨地方
2022,3,27,00:45,15.5,37°54.1'N,141°43.0'E,53,1.2,宮城県沖
2022,3,27,00:48,12.8,37°30.9'N,137°15.5'E,13,1.1,石川県能登地方
