year,month,day,time,second,lat,lon,depth,mag,city
2022,3,15,00:01,48.9,36°15.4'N,137°42.7'E,5,0.6,長野県中部
2022,3,15,00:03,18.4,37°43.2'N,142°16.3'E,27,1.0,福島県沖
2022,3,15,00:04,45.5,34°44.4'N,135°59.9'E,1,0.0,奈良県
2022,3,15,00:06,40.5,38°11.2'N,141°44.1'E,51,2.2,宮城県沖
2022,3,15,00:08,6.3,24°54.3'N,125°40.8'E,49,2.8,宮古島近海
2022,3,15,00:08,21.6,33°30.6'N,134°0.9'E,10,0.2,高知県東部
2022,3,15,00:09,30.9,39°37.0'N,142°14.5'E,50,0.9,岩手県沖
2022,3,15,00:12,49.5,33°45.8'N,130°7.2'E,10,1.5,福岡県北西沖
2022,3,15,00:14,5.1,37°46.1'N,141°58.4'E,36,1.6,福島県沖
2022,3,15,00:17,51.5,43°5.6'N,145°34.7'E,48,0.8,根室半島南東沖

2022,3,15,00:21,15.8,37°16.6'N,140°24.7'E,85,1.3,福島県中通り
2022,3,15,00:22,10.4,35°11.1'N,135°46.3'E,11,0.6,京都府南部
2022,3,15,00:25,28.8,35°52.4'N,137°34.6'E,6,-0.3,長野県南部
2022,3,15,00:28,16.4,41°46.4'N,139°25.9'E,17,1.9,北海道南西沖
2022,3,15,00:28,31.3,32°42.7'N,132°3.7'E,40,0.7,日向灘
2022,3,15,00:30,3.1,32°13.5'N,130°58.6'E,14,0.1,熊本県球磨地方
2022,3,15,00:33,49.6,33°54.5'N,135°16.3'E,6,1.2,和歌山県北部
2022,3,15,00:37,4.5,36°2.3'N,140°5.8'E,63,1.4,茨城県南部
2022,3,15,00:39,20.1,26°46.3'N,126°22.4'E,32,2.6,沖縄本島北西沖
2022,3,15,00:40,44.3,26°40.7'N,126°18.4'E,19,-,沖縄本島北西沖

2022,3,15,00:46,53.0,32°44.7'N,132°4.0'E,39,0.6,日向灘
2022,3,15,00:48,24.3,37°16.5'N,142°13.2'E,24,1.4,福島県沖
2022,3,15,00:48,45.6,36°53.8'N,139°48.8'E,10,0.5,栃木県北部
2022,3,15,00:53,56.2,43°31.0'N,144°8.5'E,7,1.0,網走地方
2022,3,15,00:56,45.7,36°32.0'N,141°38.9'E,20,1.4,茨城県沖
2022,3,15,00:57,57.0,26°39.7'N,126°18.8'E,24,1.8,沖縄本島北西沖
2022,3,15,01:00,39.9,43°31.1'N,144°9.4'E,8,0.7,釧路地方中南部
2022,3,15,01:02,38.0,35°13.8'N,137°24.7'E,10,-0.1,愛知県西部
2022,3,15,01:05,29.4,34°32.0'N,131°47.0'E,16,0.6,島根県西部
2022,3,15,01:09,0.6,33°11.9'N,142°31.4'E,31,2.3,八丈島東方沖

2022,3,15,01:10,41.0,34°42.2'N,139°50.7'E,26,1.0,千葉県南東沖
2022,3,15,01:11,3.5,32°28.1'N,130°29.8'E,10,0.5,熊本県天草・芦北地方
2022,3,15,01:11,15.1,37°36.9'N,141°48.1'E,39,2.2,福島県沖
2022,3,15,01:14,40.6,35°50.6'N,140°31.5'E,35,0.8,千葉県北東部
2022,3,15,01:18,14.7,28°49.0'N,128°17.8'E,22,1.4,奄美大島北西沖
2022,3,15,01:18,59.1,28°2.1'N,128°0.9'E,136,1.4,沖縄本島北西沖
2022,3,15,01:21,16.1,41°31.2'N,142°53.6'E,24,1.0,青森県東方沖
2022,3,15,01:21,49.9,28°46.6'N,129°44.6'E,58,1.6,奄美大島近海
2022,3,15,01:30,42.2,37°27.4'N,137°11.3'E,11,1.4,石川県能登地方
