year,month,day,time,second,lat,lon,depth,mag,city
2022,3,26,00:00,3.1,37°50.8'N,141°34.9'E,47,1.0,福島県沖
2022,3,26,00:02,14.0,35°55.7'N,136°4.5'E,11,2.5,福井県嶺北
2022,3,26,00:03,25.1,35°55.6'N,136°4.5'E,11,0.5,福井県嶺北
2022,3,26,00:04,54.2,37°31.8'N,137°11.9'E,13,0.8,能登半島沖
2022,3,26,00:05,16.0,35°50.8'N,137°18.8'E,10,0.0,岐阜県飛騨地方
2022,3,26,00:05,36.0,38°53.4'N,140°51.9'E,8,1.0,宮城県北部
2022,3,26,00:05,54.7,28°44.0'N,128°26.5'E,27,1.9,奄美大島北西沖
2022,3,26,00:05,54.8,35°55.7'N,136°4.4'E,11,0.9,福井県嶺北
2022,3,26,00:06,53.2,37°49.8'N,141°39.7'E,52,1.5,福島県沖
2022,3,26,00:07,28.0,36°27.9'N,141°12.4'E,35,1.4,茨城県沖

2022,3,26,00:07,45.4,34°39.2'N,133°27.1'E,18,0.8,岡山県南部
2022,3,26,00:07,49.2,42°10.8'N,142°29.9'E,73,0.6,浦河沖
2022,3,26,00:09,10.6,35°56.9'N,136°1.4'E,8,1.1,福井県嶺北
2022,3,26,00:09,18.5,37°38.5'N,141°35.6'E,54,1.1,福島県沖
2022,3,26,00:10,44.0,37°53.8'N,141°38.2'E,51,1.0,宮城県沖
2022,3,26,00:11,50.0,37°54.2'N,141°51.3'E,49,0.8,宮城県沖
2022,3,26,00:12,23.9,28°45.6'N,128°26.9'E,18,1.9,奄美大島北西沖
2022,3,26,00:12,57.7,28°46.4'N,128°28.5'E,20,1.7,奄美大島北西沖
2022,3,26,00:13,29.3,37°46.9'N,141°33.9'E,51,1.0,福島県沖
2022,3,26,00:14,24.7,37°30.6'N,137°13.3'E,13,0.5,石川県能登地方

2022,3,26,00:14,31.1,28°44.3'N,128°26.8'E,21,2.2,奄美大島北西沖
2022,3,26,00:16,5.1,37°56.9'N,141°48.4'E,51,0.9,宮城県沖
2022,3,26,00:16,33.0,37°46.0'N,141°36.0'E,54,1.0,福島県沖
2022,3,26,00:17,41.9,37°50.3'N,141°34.4'E,48,1.1,福島県沖
2022,3,26,00:18,54.2,37°58.0'N,141°42.4'E,52,0.9,宮城県沖
2022,3,26,00:20,8.0,37°31.6'N,141°24.6'E,51,4.7,福島県沖
2022,3,26,00:25,1.8,30°31.4'N,130°53.4'E,5,2.0,種子島近海
2022,3,26,00:25,9.9,37°51.7'N,141°35.8'E,47,1.4,福島県沖
2022,3,26,00:25,17.4,37°47.2'N,141°35.8'E,53,1.5,福島県沖
2022,3,26,00:28,58.0,37°44.2'N,141°35.4'E,54,1.5,福島県沖

2022,3,26,00:29,33.2,33°21.7'N,132°9.0'E,47,1.5,豊後水道
2022,3,26,00:29,44.5,42°50.5'N,142°28.0'E,12,0.1,日高地方西部
2022,3,26,00:32,2.7,37°57.3'N,141°49.3'E,53,1.0,宮城県沖
2022,3,26,00:32,3.8,35°49.1'N,140°54.3'E,27,0.9,千葉県東方沖
2022,3,26,00:32,15.3,28°45.9'N,128°28.1'E,26,-,奄美大島北西沖
2022,3,26,00:33,28.9,26°52.3'N,128°10.1'E,34,1.0,沖縄本島近海
2022,3,26,00:33,48.6,37°57.3'N,141°41.1'E,52,1.5,宮城県沖
2022,3,26,00:35,17.8,37°51.0'N,141°34.1'E,48,0.7,福島県沖
2022,3,26,00:36,40.4,28°45.8'N,128°27.1'E,24,2.4,奄美大島北西沖
2022,3,26,00:37,27.5,37°54.5'N,141°40.6'E,52,0.9,宮城県沖

2022,3,26,00:37,36.4,28°45.4'N,128°26.3'E,18,2.3,奄美大島北西沖
2022,3,26,00:38,6.5,37°43.9'N,139°57.1'E,6,0.1,福島県会津
2022,3,26,00:38,24.2,35°56.1'N,137°46.6'E,11,0.0,長野県南部
2022,3,26,00:40,11.3,28°46.2'N,128°21.4'E,35,1.9,奄美大島北西沖
2022,3,26,00:40,13.9,37°45.9'N,141°34.4'E,52,1.2,福島県沖
2022,3,26,00:40,45.0,28°46.3'N,128°27.2'E,20,2.3,奄美大島北西沖
2022,3,26,00:41,22.4,37°49.9'N,141°37.0'E,49,1.3,福島県沖
2022,3,26,00:41,42.0,37°48.7'N,141°38.6'E,50,1.4,福島県沖
2022,3,26,00:41,49.0,38°47.5'N,138°33.5'E,9,1.5,山形県沖
2022,3,26,00:42,46.0,37°32.8'N,137°21.2'E,14,0.5,能登半島沖

2022,3,26,00:42,59.0,37°45.6'N,141°35.8'E,55,1.6,福島県沖
2022,3,26,00:43,4.9,37°30.6'N,141°24.6'E,43,1.5,福島県沖
2022,3,26,00:44,0.9,37°45.6'N,141°34.5'E,52,1.3,福島県沖
2022,3,26,00:44,43.9,37°50.1'N,141°38.8'E,54,1.0,福島県沖
2022,3,26,00:46,19.0,37°56.5'N,141°42.1'E,53,1.1,宮城県沖
2022,3,26,00:47,28.7,35°24.5'N,133°50.6'E,11,0.4,鳥取県中部
2022,3,26,00:48,25.4,32°13.0'N,130°27.3'E,7,0.5,熊本県天草・芦北地方
2022,3,26,00:48,49.1,28°46.9'N,128°25.2'E,23,2.2,奄美大島北西沖
2022,3,26,00:49,8.0,40°52.9'N,145°9.2'E,16,1.8,三陸沖
2022,3,26,00:49,21.7,28°44.1'N,128°26.7'E,18,2.1,奄美大島北西沖

2022,3,26,00:50,49.2,37°41.0'N,141°37.5'E,60,1.0,福島県沖
2022,3,26,00:52,20.9,37°50.7'N,141°35.1'E,47,0.8,福島県沖
2022,3,26,00:54,43.0,37°58.2'N,141°43.5'E,56,1.0,宮城県沖
2022,3,26,00:55,2.4,39°21.1'N,143°19.8'E,12,2.3,三陸沖
2022,3,26,00:55,51.3,24°43.6'N,122°57.3'E,102,2.0,与那国島近海
2022,3,26,00:56,52.8,37°48.2'N,141°38.7'E,52,1.1,福島県沖
2022,3,26,00:57,42.2,28°46.1'N,128°27.4'E,21,2.9,奄美大島北西沖
2022,3,26,00:58,44.9,39°34.1'N,140°30.5'E,7,1.6,秋田県内陸南部
2022,3,26,00:58,59.4,37°43.0'N,141°31.7'E,54,1.2,福島県沖
2022,3,26,00:59,29.7,35°40.0'N,140°48.6'E,14,0.9,千葉県東方沖

2022,3,26,01:00,48.4,37°42.5'N,141°44.0'E,50,2.1,福島県沖
2022,3,26,01:02,5.5,28°45.4'N,128°27.8'E,20,2.2,奄美大島北西沖
2022,3,26,01:03,4.3,37°51.5'N,141°35.6'E,47,1.0,福島県沖
2022,3,26,01:03,51.4,32°42.7'N,132°3.3'E,40,1.0,日向灘
2022,3,26,01:04,18.5,28°45.4'N,128°27.3'E,14,3.0,奄美大島北西沖
2022,3,26,01:04,40.6,37°46.4'N,141°36.5'E,56,2.3,福島県沖
2022,3,26,01:06,10.9,37°47.1'N,141°35.9'E,53,1.1,福島県沖
2022,3,26,01:06,49.7,37°51.5'N,141°37.5'E,48,1.2,福島県沖
2022,3,26,01:08,14.4,37°42.4'N,141°33.2'E,53,1.3,福島県沖
2022,3,26,01:09,11.4,39°59.2'N,142°0.6'E,17,1.2,岩手県沖

2022,3,26,01:10,49.3,37°52.4'N,141°41.5'E,56,0.7,宮城県沖
2022,3,26,01:11,30.5,37°13.6'N,142°10.9'E,21,-,福島県沖
2022,3,26,01:14,7.2,28°46.7'N,128°25.2'E,25,2.1,奄美大島北西沖
2022,3,26,01:15,0.7,37°42.2'N,141°36.4'E,57,1.5,福島県沖
2022,3,26,01:16,2.5,28°44.4'N,128°28.2'E,25,2.4,奄美大島北西沖
2022,3,26,01:16,19.8,37°51.1'N,141°36.0'E,48,1.1,福島県沖
2022,3,26,01:17,37.2,36°55.5'N,140°45.9'E,10,0.9,福島県浜通り
2022,3,26,01:17,52.6,31°15.3'N,131°35.6'E,25,1.4,大隅半島東方沖
2022,3,26,01:17,56.1,36°45.3'N,141°24.5'E,11,2.5,茨城県沖
2022,3,26,01:20,27.8,28°46.2'N,128°24.4'E,20,-,奄美大島北西沖

2022,3,26,01:20,45.6,37°50.0'N,141°36.9'E,49,1.1,福島県沖
2022,3,26,01:21,36.7,36°40.9'N,138°2.8'E,10,-0.6,長野県北部
2022,3,26,01:22,10.8,37°51.3'N,141°37.3'E,49,1.4,福島県沖
