year,month,day,time,second,lat,lon,depth,mag,city
2022,3,23,00:00,18.9,37°42.7'N,141°38.0'E,59,1.2,福島県沖
2022,3,23,00:03,20.4,37°48.2'N,141°39.5'E,55,0.9,福島県沖
2022,3,23,00:03,31.5,30°32.8'N,131°13.9'E,26,1.5,種子島近海
2022,3,23,00:05,35.2,33°0.7'N,130°26.1'E,9,0.2,福岡県筑後地方
2022,3,23,00:06,3.5,35°0.1'N,135°29.4'E,12,0.9,京都府南部
2022,3,23,00:06,10.7,37°58.6'N,141°43.6'E,58,0.7,宮城県沖
2022,3,23,00:06,40.6,37°49.6'N,141°39.7'E,53,3.0,福島県沖
2022,3,23,00:07,52.5,37°53.8'N,141°41.4'E,53,2.0,宮城県沖
2022,3,23,00:09,5.1,37°53.7'N,141°41.3'E,53,1.4,宮城県沖
2022,3,23,00:09,40.2,36°36.2'N,140°35.7'E,58,1.8,茨城県北部

2022,3,23,00:12,18.4,42°17.3'N,142°41.2'E,27,0.7,日高地方中部
2022,3,23,00:12,20.7,37°44.3'N,141°33.6'E,51,1.5,福島県沖
2022,3,23,00:13,13.1,37°50.9'N,141°37.3'E,49,1.8,福島県沖
2022,3,23,00:14,42.3,39°39.1'N,140°27.3'E,4,0.2,秋田県内陸南部
2022,3,23,00:15,34.9,37°43.8'N,141°33.3'E,55,2.2,福島県沖
2022,3,23,00:18,11.1,32°59.0'N,130°25.7'E,10,-0.1,有明海
2022,3,23,00:22,2.7,32°58.6'N,130°25.9'E,10,0.2,有明海
2022,3,23,00:22,14.2,36°5.3'N,137°19.3'E,11,0.5,岐阜県飛騨地方
2022,3,23,00:25,4.0,37°49.2'N,141°36.5'E,49,1.1,福島県沖
2022,3,23,00:25,24.0,39°1.0'N,144°39.0'E,14,1.1,三陸沖

2022,3,23,00:26,8.8,39°39.0'N,140°26.9'E,6,0.0,秋田県内陸南部
2022,3,23,00:26,9.0,37°48.0'N,141°39.9'E,55,1.2,福島県沖
2022,3,23,00:28,0.4,37°41.8'N,141°35.1'E,60,0.6,福島県沖
2022,3,23,00:28,22.5,37°59.2'N,141°37.3'E,48,0.7,宮城県沖
2022,3,23,00:29,20.0,39°27.1'N,144°42.3'E,20,1.2,三陸沖
2022,3,23,00:30,11.7,40°14.1'N,141°47.8'E,18,0.3,岩手県沿岸北部
2022,3,23,00:30,15.6,37°59.3'N,144°28.9'E,31,1.2,三陸沖
2022,3,23,00:30,27.6,37°47.5'N,141°34.8'E,51,1.3,福島県沖
2022,3,23,00:31,34.6,37°46.4'N,141°34.6'E,51,1.7,福島県沖
2022,3,23,00:31,56.8,39°37.1'N,143°14.6'E,12,1.3,三陸沖

2022,3,23,00:33,2.4,35°32.7'N,136°20.5'E,11,0.5,滋賀県北部
2022,3,23,00:33,11.9,37°52.0'N,141°33.7'E,46,0.9,福島県沖
2022,3,23,00:33,41.4,37°45.0'N,141°34.9'E,54,2.1,福島県沖
2022,3,23,00:33,55.9,37°46.4'N,141°38.5'E,54,2.0,福島県沖
2022,3,23,00:36,22.2,37°51.0'N,141°38.2'E,51,1.0,福島県沖
2022,3,23,00:36,59.3,37°49.5'N,141°35.8'E,50,0.6,福島県沖
2022,3,23,00:38,49.3,34°13.8'N,135°29.6'E,7,0.6,和歌山県北部
2022,3,23,00:39,11.7,37°50.6'N,141°36.3'E,49,1.2,福島県沖
2022,3,23,00:41,21.0,37°50.0'N,141°45.4'E,44,0.6,福島県沖
2022,3,23,00:42,25.0,37°58.1'N,141°41.3'E,52,2.5,宮城県沖

2022,3,23,00:43,39.5,37°45.6'N,141°35.0'E,53,1.6,福島県沖
2022,3,23,00:44,11.8,37°0.8'N,144°10.1'E,24,1.9,福島県沖
2022,3,23,00:46,29.7,37°52.1'N,141°39.7'E,51,1.3,福島県沖
2022,3,23,00:47,30.9,37°29.7'N,137°13.1'E,12,1.4,石川県能登地方
2022,3,23,00:47,35.9,35°47.5'N,140°51.4'E,13,1.2,千葉県東方沖
2022,3,23,00:47,51.1,37°30.9'N,137°11.2'E,11,0.7,能登半島沖
2022,3,23,00:48,58.3,37°52.1'N,141°36.4'E,46,0.6,福島県沖
2022,3,23,00:50,57.1,39°18.8'N,144°25.8'E,34,1.4,三陸沖
2022,3,23,00:53,30.5,37°47.2'N,141°36.4'E,54,1.3,福島県沖
2022,3,23,00:54,44.2,37°43.7'N,141°39.9'E,63,0.9,福島県沖

2022,3,23,00:55,8.5,37°30.4'N,137°12.9'E,11,0.3,石川県能登地方
2022,3,23,00:55,16.7,32°46.6'N,130°40.2'E,15,0.2,熊本県熊本地方
2022,3,23,00:55,32.0,37°47.9'N,141°40.4'E,56,1.0,福島県沖
2022,3,23,00:56,12.2,39°1.1'N,144°23.5'E,48,0.8,三陸沖
2022,3,23,00:56,32.6,37°52.0'N,141°35.7'E,48,0.5,福島県沖
2022,3,23,00:58,59.6,37°56.7'N,141°40.8'E,50,1.1,宮城県沖
2022,3,23,01:03,24.0,37°47.9'N,141°39.5'E,57,1.0,福島県沖
2022,3,23,01:03,55.4,37°44.9'N,141°34.4'E,53,2.2,福島県沖
2022,3,23,01:04,58.3,37°47.1'N,141°36.6'E,55,0.9,福島県沖
2022,3,23,01:05,4.1,31°58.3'N,130°25.6'E,8,0.3,鹿児島県薩摩地方

2022,3,23,01:05,15.9,37°42.2'N,141°35.8'E,56,1.5,福島県沖
