year,month,day,time,second,lat,lon,depth,mag,city
2022,3,5,00:06,52.3,32°41.7'N,132°2.4'E,39,0.5,日向灘
2022,3,5,00:07,45.8,40°0.7'N,142°53.7'E,23,1.1,岩手県沖
2022,3,5,00:09,13.4,30°58.4'N,131°58.3'E,45,1.0,九州地方南東沖
2022,3,5,00:14,41.9,33°52.4'N,135°38.1'E,45,0.9,和歌山県南部
2022,3,5,00:18,6.6,32°40.5'N,130°44.8'E,10,-0.3,熊本県熊本地方
2022,3,5,00:19,10.4,31°59.3'N,131°7.2'E,67,0.1,宮崎県南部山沿い
2022,3,5,00:22,13.9,36°8.5'N,137°39.9'E,6,0.0,長野県中部
2022,3,5,00:22,28.8,35°27.5'N,134°29.4'E,6,0.8,兵庫県北部
2022,3,5,00:23,35.5,36°28.6'N,140°31.6'E,57,0.6,茨城県北部
2022,3,5,00:27,15.0,34°54.8'N,138°16.0'E,18,0.0,静岡県中部

2022,3,5,00:27,22.4,34°54.2'N,138°16.1'E,16,0.0,静岡県中部
2022,3,5,00:29,57.7,32°38.8'N,130°40.7'E,11,-0.2,熊本県熊本地方
2022,3,5,00:30,26.0,36°14.9'N,140°49.5'E,43,0.8,茨城県沖
2022,3,5,00:36,39.8,45°52.4'N,150°32.3'E,188,3.5,千島列島
2022,3,5,00:38,2.0,37°13.3'N,142°7.5'E,22,1.2,福島県沖
2022,3,5,00:40,52.2,38°42.8'N,142°15.9'E,39,1.0,宮城県沖
2022,3,5,00:44,48.0,32°39.5'N,137°37.8'E,62,2.3,東海道南方沖
2022,3,5,00:47,46.9,32°42.0'N,130°1.0'E,14,0.7,橘湾
2022,3,5,00:49,6.4,35°25.3'N,136°16.3'E,33,0.9,滋賀県北部
2022,3,5,00:49,14.9,41°6.4'N,142°53.4'E,17,1.5,青森県東方沖

2022,3,5,00:52,13.2,41°44.5'N,143°50.1'E,20,1.5,十勝沖
2022,3,5,00:55,46.7,36°49.6'N,138°33.6'E,2,0.2,長野県北部
2022,3,5,01:00,24.1,36°1.6'N,141°7.5'E,28,1.3,茨城県沖
2022,3,5,01:06,6.6,31°58.3'N,129°44.6'E,6,0.5,天草灘
2022,3,5,01:06,14.1,34°28.8'N,139°56.7'E,90,1.3,房総半島南方沖
2022,3,5,01:08,6.5,37°22.6'N,141°57.9'E,29,1.1,福島県沖
2022,3,5,01:10,27.2,37°17.9'N,141°42.3'E,26,1.1,福島県沖
2022,3,5,01:11,21.3,26°47.2'N,126°22.5'E,27,2.2,沖縄本島北西沖
2022,3,5,01:12,42.7,39°8.1'N,142°21.0'E,31,2.5,岩手県沖
2022,3,5,01:12,56.5,37°3.8'N,140°34.5'E,7,0.2,福島県中通り

2022,3,5,01:14,28.8,39°37.6'N,143°43.6'E,22,1.0,三陸沖
2022,3,5,01:16,26.0,36°49.0'N,141°2.0'E,72,0.7,茨城県沖
2022,3,5,01:21,50.7,39°33.5'N,143°38.0'E,7,1.6,三陸沖
2022,3,5,01:22,56.7,42°7.0'N,142°45.8'E,47,0.9,浦河沖
2022,3,5,01:25,36.8,40°8.6'N,142°24.1'E,20,1.2,岩手県沖
2022,3,5,01:26,15.1,37°30.9'N,137°13.1'E,11,0.7,石川県能登地方
2022,3,5,01:31,49.5,33°53.7'N,135°35.7'E,15,0.1,和歌山県南部
2022,3,5,01:35,13.0,36°39.3'N,142°20.8'E,3,1.1,福島県沖
2022,3,5,01:38,22.5,35°14.4'N,138°14.8'E,32,0.2,静岡県中部
2022,3,5,01:40,11.9,28°43.7'N,130°13.7'E,18,1.1,奄美大島北東沖

2022,3,5,01:42,25.4,43°10.8'N,143°52.7'E,11,0.1,釧路地方中南部
2022,3,5,01:45,39.5,34°6.0'N,135°7.9'E,5,1.4,和歌山県北部
2022,3,5,01:49,36.1,35°55.6'N,139°40.6'E,122,1.2,埼玉県南部
2022,3,5,01:49,49.4,37°7.4'N,139°15.3'E,4,0.6,福島県会津
2022,3,5,01:50,57.0,39°53.5'N,144°44.4'E,14,1.7,三陸沖
2022,3,5,01:53,10.2,35°50.4'N,136°55.2'E,10,0.1,岐阜県美濃中西部
2022,3,5,01:55,1.5,35°31.9'N,140°58.2'E,32,2.4,千葉県東方沖
2022,3,5,01:56,13.3,37°31.6'N,137°18.1'E,12,0.8,石川県能登地方
2022,3,5,01:56,52.4,37°30.3'N,137°12.2'E,12,0.8,石川県能登地方
2022,3,5,02:01,6.3,35°54.2'N,138°10.1'E,5,-0.1,長野県南部

2022,3,5,02:02,32.4,34°17.1'N,135°11.2'E,10,0.4,大阪府南部
2022,3,5,02:03,6.6,33°13.0'N,132°49.6'E,13,0.3,高知県西部
2022,3,5,02:04,15.0,36°54.1'N,137°38.5'E,2,0.8,富山県東部
2022,3,5,02:04,53.6,37°35.5'N,143°50.0'E,31,2.9,福島県沖
2022,3,5,02:05,28.4,37°46.6'N,140°3.7'E,6,0.6,福島県会津
2022,3,5,02:07,1.5,37°43.2'N,140°1.3'E,7,-0.3,福島県会津
2022,3,5,02:09,48.4,32°43.5'N,132°4.0'E,38,0.6,日向灘
2022,3,5,02:12,19.0,33°57.2'N,135°10.0'E,7,2.1,和歌山県北部
2022,3,5,02:14,58.7,37°4.0'N,136°24.7'E,17,0.8,石川県西方沖
2022,3,5,02:15,4.3,37°32.2'N,137°16.7'E,12,0.7,能登半島沖

2022,3,5,02:15,31.2,37°34.4'N,141°48.6'E,33,1.5,福島県沖
2022,3,5,02:19,29.2,39°2.2'N,140°51.5'E,9,1.2,岩手県内陸南部
2022,3,5,02:19,37.9,37°2.0'N,139°22.7'E,6,-0.1,福島県会津
2022,3,5,02:24,51.6,35°12.0'N,132°48.8'E,14,2.2,島根県東部
2022,3,5,02:25,27.8,31°7.4'N,131°5.6'E,7,0.8,大隅半島東方沖
2022,3,5,02:28,5.4,37°3.6'N,141°27.6'E,44,1.9,福島県沖
2022,3,5,02:29,16.8,35°32.3'N,138°56.3'E,25,0.4,山梨県東部・富士五湖
2022,3,5,02:30,26.7,40°56.4'N,141°27.5'E,81,0.4,青森県東方沖
2022,3,5,02:35,6.9,32°24.5'N,131°26.5'E,15,-0.1,宮崎県北部山沿い
2022,3,5,02:36,31.0,39°10.1'N,142°18.2'E,34,0.6,岩手県沖

2022,3,5,02:37,8.6,42°19.1'N,142°38.6'E,17,0.4,日高地方中部
2022,3,5,02:38,55.5,36°1.8'N,139°25.3'E,95,0.9,埼玉県北部
2022,3,5,02:40,3.2,33°20.5'N,134°48.4'E,23,0.9,四国沖
2022,3,5,02:40,48.2,32°41.6'N,132°0.1'E,34,0.5,日向灘
2022,3,5,02:43,13.1,34°11.2'N,135°7.5'E,8,0.2,紀伊水道
2022,3,5,02:45,42.7,35°25.0'N,136°41.7'E,6,-0.4,岐阜県美濃中西部
2022,3,5,02:46,17.4,33°42.3'N,135°1.2'E,14,0.7,紀伊水道
2022,3,5,02:47,34.4,43°11.2'N,143°53.4'E,9,0.4,釧路地方中南部
2022,3,5,02:47,57.1,36°57.0'N,140°40.5'E,8,0.5,福島県浜通り
2022,3,5,02:49,32.4,39°1.4'N,143°21.5'E,4,1.7,三陸沖

2022,3,5,02:51,5.1,43°43.3'N,147°47.4'E,0,3.0,北海道東方沖
2022,3,5,02:51,32.2,35°25.1'N,136°22.9'E,14,0.2,滋賀県北部
2022,3,5,02:51,54.1,42°57.0'N,139°48.2'E,19,2.0,北海道南西沖
2022,3,5,02:52,50.5,35°12.7'N,136°20.9'E,16,0.5,滋賀県北部
2022,3,5,02:55,49.1,35°25.4'N,136°50.8'E,16,0.1,岐阜県美濃中西部
2022,3,5,02:55,57.1,35°7.5'N,135°52.4'E,15,0.4,滋賀県南部
2022,3,5,03:03,43.4,40°14.5'N,140°53.4'E,10,1.1,秋田県内陸北部
