year,month,day,time,second,lat,lon,depth,mag,city
2022,3,21,00:00,5.9,37°30.8'N,137°15.3'E,16,1.2,石川県能登地方
2022,3,21,00:00,38.1,40°22.7'N,142°12.4'E,45,0.7,岩手県沖
2022,3,21,00:03,24.0,24°50.2'N,125°24.0'E,43,1.5,宮古島近海
2022,3,21,00:04,12.8,24°59.0'N,122°55.3'E,118,-,与那国島近海
2022,3,21,00:04,42.3,35°28.9'N,138°57.6'E,19,0.5,山梨県東部・富士五湖
2022,3,21,00:05,19.4,37°45.9'N,141°38.7'E,55,1.6,福島県沖
2022,3,21,00:05,26.8,38°46.6'N,141°35.5'E,96,1.1,宮城県沖
2022,3,21,00:07,30.6,41°24.3'N,142°18.2'E,33,1.5,青森県東方沖
2022,3,21,00:07,41.1,37°51.0'N,141°38.4'E,52,1.0,福島県沖
2022,3,21,00:07,55.2,37°44.8'N,141°36.2'E,58,2.8,福島県沖

2022,3,21,00:09,16.2,37°50.7'N,141°36.6'E,47,1.6,福島県沖
2022,3,21,00:09,51.2,36°47.5'N,141°18.0'E,24,1.3,茨城県沖
2022,3,21,00:10,39.5,37°16.6'N,141°50.6'E,39,1.4,福島県沖
2022,3,21,00:12,47.9,37°55.8'N,141°44.7'E,57,2.0,宮城県沖
2022,3,21,00:13,16.1,37°59.0'N,141°42.3'E,54,2.5,宮城県沖
2022,3,21,00:14,59.4,37°47.7'N,141°35.1'E,54,1.1,福島県沖
2022,3,21,00:18,3.7,37°52.2'N,141°41.8'E,56,1.0,宮城県沖
2022,3,21,00:19,4.4,33°1.7'N,131°11.5'E,10,0.0,熊本県阿蘇地方
2022,3,21,00:23,6.1,37°57.2'N,144°45.8'E,24,2.4,三陸沖
2022,3,21,00:23,56.4,37°46.1'N,141°34.5'E,52,1.8,福島県沖

2022,3,21,00:24,19.6,33°59.8'N,135°36.7'E,45,0.1,和歌山県南部
2022,3,21,00:25,53.5,37°30.4'N,137°12.7'E,10,1.2,石川県能登地方
2022,3,21,00:25,57.4,41°16.1'N,139°40.5'E,17,1.3,青森県西方沖
2022,3,21,00:26,23.6,37°48.1'N,141°38.8'E,52,1.3,福島県沖
2022,3,21,00:26,36.0,42°59.6'N,145°47.3'E,33,2.0,根室半島南東沖
2022,3,21,00:26,43.6,37°30.0'N,137°13.7'E,13,1.0,石川県能登地方
2022,3,21,00:27,7.7,37°50.8'N,141°34.2'E,46,1.5,福島県沖
2022,3,21,00:27,36.4,35°48.2'N,140°21.9'E,96,1.2,千葉県北西部
2022,3,21,00:28,29.2,37°46.3'N,141°42.7'E,56,1.7,福島県沖
2022,3,21,00:29,28.9,37°49.4'N,141°39.2'E,55,1.3,福島県沖

2022,3,21,00:30,20.7,36°54.1'N,139°42.1'E,6,-0.4,栃木県北部
2022,3,21,00:30,40.2,37°45.4'N,141°34.5'E,55,1.2,福島県沖
2022,3,21,00:31,47.7,35°23.4'N,136°53.0'E,6,0.3,岐阜県美濃中西部
2022,3,21,00:33,28.7,37°50.7'N,141°37.5'E,48,1.4,福島県沖
2022,3,21,00:33,34.8,37°57.5'N,141°40.9'E,51,1.6,宮城県沖
2022,3,21,00:34,33.9,37°38.4'N,141°36.8'E,55,2.0,福島県沖
2022,3,21,00:35,50.5,37°41.7'N,141°31.6'E,57,1.3,福島県沖
2022,3,21,00:36,37.2,37°50.2'N,141°35.4'E,48,1.1,福島県沖
2022,3,21,00:36,45.4,37°51.6'N,141°38.9'E,52,1.8,福島県沖
2022,3,21,00:38,40.1,37°53.0'N,141°37.9'E,50,1.1,宮城県沖

2022,3,21,00:39,50.8,37°48.4'N,141°35.7'E,52,1.7,福島県沖
2022,3,21,00:40,17.1,37°52.1'N,141°41.2'E,56,1.4,宮城県沖
2022,3,21,00:44,31.0,37°32.5'N,137°13.4'E,12,0.9,能登半島沖
2022,3,21,00:44,54.3,36°38.8'N,141°8.6'E,41,1.0,茨城県沖
2022,3,21,00:44,57.9,35°58.6'N,137°35.7'E,10,-0.1,長野県南部
2022,3,21,00:45,26.3,37°48.2'N,141°44.7'E,61,2.0,福島県沖
2022,3,21,00:47,19.1,37°47.2'N,141°35.4'E,53,1.8,福島県沖
2022,3,21,00:49,26.7,32°56.6'N,132°14.1'E,33,0.8,豊後水道
2022,3,21,00:52,4.5,37°52.1'N,141°41.9'E,56,1.4,宮城県沖
