year,month,day,time,second,lat,lon,depth,mag,city
2022,3,11,00:03,23.1,34°56.7'N,138°16.8'E,20,0.7,静岡県中部
2022,3,11,00:06,51.4,37°46.3'N,139°59.4'E,4,-0.4,山形県置賜地方
2022,3,11,00:11,27.1,37°19.1'N,141°48.0'E,36,1.5,福島県沖
2022,3,11,00:12,21.2,39°24.7'N,143°37.3'E,12,1.6,三陸沖
2022,3,11,00:12,49.3,36°1.8'N,137°53.0'E,4,-0.4,長野県中部
2022,3,11,00:16,33.8,36°38.1'N,139°25.2'E,8,1.1,栃木県北部
2022,3,11,00:17,31.6,37°31.3'N,137°15.2'E,11,0.5,石川県能登地方
2022,3,11,00:17,41.4,32°44.4'N,131°12.4'E,7,0.0,熊本県熊本地方
2022,3,11,00:19,3.6,33°49.8'N,135°40.9'E,42,0.9,和歌山県南部
2022,3,11,00:21,49.1,34°8.5'N,135°12.1'E,5,0.3,和歌山県北部

2022,3,11,00:24,50.2,35°9.6'N,132°40.4'E,8,-0.1,島根県東部
2022,3,11,00:25,32.4,27°18.9'N,128°55.5'E,21,0.8,沖縄本島近海
2022,3,11,00:26,28.0,37°3.0'N,139°21.4'E,7,0.2,福島県会津
2022,3,11,00:26,52.4,37°42.0'N,142°6.1'E,43,0.7,福島県沖
2022,3,11,00:27,13.0,35°55.5'N,137°39.8'E,9,0.2,長野県南部
2022,3,11,00:27,47.5,36°46.4'N,137°53.6'E,7,0.1,長野県北部
2022,3,11,00:29,10.8,33°8.6'N,132°46.8'E,7,0.9,高知県西部
2022,3,11,00:29,30.9,31°34.4'N,130°17.3'E,3,-0.1,薩摩半島西方沖
2022,3,11,00:33,10.4,39°24.8'N,143°37.6'E,11,1.9,三陸沖
2022,3,11,00:34,10.7,36°15.4'N,137°42.0'E,4,-0.1,長野県中部

2022,3,11,00:35,33.9,37°30.5'N,137°15.4'E,13,0.5,石川県能登地方
2022,3,11,00:36,2.0,32°45.5'N,130°38.1'E,11,-0.1,熊本県熊本地方
2022,3,11,00:38,33.5,37°29.8'N,137°13.3'E,11,0.2,石川県能登地方
2022,3,11,00:39,3.5,24°12.5'N,121°44.0'E,54,2.4,台湾付近
2022,3,11,00:41,18.9,32°19.9'N,130°29.9'E,10,-0.4,熊本県天草・芦北地方
2022,3,11,00:42,38.3,36°38.5'N,137°38.2'E,0,0.7,富山県東部
2022,3,11,00:42,56.5,34°10.9'N,131°44.3'E,10,-0.1,山口県中部
2022,3,11,00:43,22.3,39°24.1'N,143°36.9'E,2,1.6,三陸沖
2022,3,11,00:46,46.3,40°1.1'N,140°36.4'E,6,0.9,秋田県内陸北部
2022,3,11,00:46,55.5,37°30.2'N,137°18.0'E,14,0.3,石川県能登地方

2022,3,11,00:47,9.4,37°31.0'N,137°11.7'E,12,0.1,能登半島沖
2022,3,11,00:47,25.2,37°41.7'N,141°36.1'E,50,1.3,福島県沖
2022,3,11,00:48,24.3,26°49.3'N,126°25.4'E,27,1.9,沖縄本島北西沖
2022,3,11,00:49,25.2,37°29.3'N,137°14.0'E,12,0.1,石川県能登地方
2022,3,11,00:52,56.8,37°34.1'N,141°31.0'E,53,1.4,福島県沖
2022,3,11,00:53,25.7,34°57.9'N,135°25.3'E,10,0.6,大阪府北部
2022,3,11,00:55,40.2,37°30.6'N,137°14.0'E,13,0.2,石川県能登地方
2022,3,11,00:56,7.1,39°24.7'N,143°36.7'E,9,0.9,三陸沖
2022,3,11,00:56,20.5,37°52.5'N,141°57.7'E,44,0.8,宮城県沖
2022,3,11,00:57,52.3,35°33.4'N,137°45.8'E,13,0.8,長野県南部

2022,3,11,00:57,54.4,34°57.8'N,135°28.2'E,11,0.9,大阪府北部
2022,3,11,00:58,46.6,32°54.7'N,131°0.9'E,3,-0.4,熊本県阿蘇地方
2022,3,11,01:02,12.8,33°36.4'N,135°30.0'E,12,-0.1,和歌山県南部
2022,3,11,01:03,4.2,41°23.9'N,143°0.7'E,12,1.4,青森県東方沖
2022,3,11,01:04,12.4,32°46.0'N,130°37.2'E,9,0.5,熊本県熊本地方
2022,3,11,01:04,20.9,37°29.8'N,137°12.1'E,11,0.6,石川県能登地方
2022,3,11,01:04,58.1,39°24.8'N,143°37.7'E,10,1.6,三陸沖
2022,3,11,01:06,17.6,31°26.2'N,130°37.9'E,9,0.0,鹿児島湾
2022,3,11,01:07,2.2,43°18.2'N,143°2.6'E,6,0.2,十勝地方北部
2022,3,11,01:07,15.7,35°49.9'N,138°1.7'E,8,-0.1,長野県南部

2022,3,11,01:08,30.3,45°32.8'N,143°14.5'E,317,2.5,宗谷東方沖
2022,3,11,01:09,44.0,29°39.0'N,130°30.6'E,44,1.1,奄美大島北東沖
2022,3,11,01:13,57.6,39°15.3'N,142°28.0'E,32,1.2,岩手県沖
2022,3,11,01:14,56.4,37°42.1'N,141°35.4'E,55,0.8,福島県沖
2022,3,11,01:15,55.1,29°22.5'N,129°25.8'E,21,1.3,トカラ列島近海
2022,3,11,01:17,31.6,26°47.0'N,126°27.4'E,30,2.4,沖縄本島北西沖
2022,3,11,01:17,35.8,34°56.9'N,139°16.2'E,12,-0.1,伊豆半島東方沖
2022,3,11,01:17,56.1,37°20.0'N,141°22.0'E,20,0.7,福島県沖
2022,3,11,01:18,43.4,34°52.5'N,138°20.6'E,22,0.4,駿河湾
2022,3,11,01:21,14.4,40°38.0'N,144°57.6'E,14,2.5,三陸沖

2022,3,11,01:25,4.2,36°28.4'N,143°34.5'E,19,1.9,関東東方沖
2022,3,11,01:27,4.0,37°31.4'N,137°18.7'E,12,0.9,石川県能登地方
2022,3,11,01:30,40.1,35°55.2'N,137°39.7'E,7,-0.1,長野県南部
2022,3,11,01:31,33.9,34°28.6'N,140°14.2'E,82,1.8,房総半島南方沖
2022,3,11,01:34,16.4,27°30.1'N,128°55.4'E,37,1.4,奄美大島近海
2022,3,11,01:35,4.6,27°30.9'N,128°53.9'E,38,0.7,奄美大島近海
2022,3,11,01:35,22.7,26°48.7'N,126°27.6'E,18,2.6,沖縄本島北西沖
2022,3,11,01:36,0.0,34°52.2'N,135°35.8'E,11,0.1,大阪府北部
2022,3,11,01:36,22.1,37°25.5'N,141°55.4'E,40,1.5,福島県沖
2022,3,11,01:38,38.0,36°52.5'N,141°58.3'E,5,1.2,福島県沖

2022,3,11,01:39,16.7,36°37.1'N,137°31.9'E,20,0.6,富山県東部
2022,3,11,01:39,25.9,26°36.6'N,126°37.8'E,32,1.8,沖縄本島北西沖
2022,3,11,01:40,3.5,36°37.7'N,137°31.4'E,23,0.3,富山県東部
2022,3,11,01:40,44.7,32°38.8'N,131°59.9'E,39,0.4,日向灘
2022,3,11,01:40,45.0,26°44.0'N,126°25.0'E,36,1.9,沖縄本島北西沖
2022,3,11,01:42,11.9,37°46.2'N,141°43.1'E,54,0.6,福島県沖
2022,3,11,01:43,11.2,26°50.3'N,126°24.7'E,26,3.1,沖縄本島北西沖
2022,3,11,01:50,2.8,33°38.8'N,134°8.5'E,15,-0.1,高知県東部
2022,3,11,01:52,4.3,35°44.8'N,136°53.3'E,5,-0.1,岐阜県美濃中西部
2022,3,11,01:53,26.5,26°48.4'N,126°21.3'E,33,2.7,沖縄本島北西沖

2022,3,11,01:53,39.2,34°57.7'N,134°35.4'E,15,0.2,兵庫県南西部
2022,3,11,01:54,28.3,26°45.7'N,126°26.8'E,34,2.4,沖縄本島北西沖
2022,3,11,01:58,12.3,39°36.2'N,141°54.3'E,28,0.5,岩手県沿岸北部
2022,3,11,02:00,33.4,36°4.3'N,136°44.1'E,4,1.4,福井県嶺北
2022,3,11,02:03,32.3,39°24.6'N,143°38.3'E,16,3.1,三陸沖
2022,3,11,02:08,33.6,37°5.3'N,140°42.1'E,93,1.1,福島県浜通り
2022,3,11,02:10,21.8,32°54.8'N,130°27.3'E,12,0.0,有明海
2022,3,11,02:11,46.8,39°24.7'N,143°37.2'E,9,1.6,三陸沖
2022,3,11,02:11,59.5,34°8.9'N,135°14.9'E,4,-0.4,和歌山県北部
2022,3,11,02:12,8.0,37°30.3'N,137°14.3'E,7,-0.1,石川県能登地方

2022,3,11,02:15,8.4,26°48.4'N,126°25.8'E,27,2.4,沖縄本島北西沖
2022,3,11,02:15,14.0,34°3.4'N,133°32.8'E,39,1.8,瀬戸内海中部
2022,3,11,02:16,41.7,26°45.8'N,126°25.3'E,26,1.9,沖縄本島北西沖
2022,3,11,02:17,39.7,39°40.6'N,142°20.9'E,33,0.8,岩手県沖
2022,3,11,02:20,39.1,34°48.8'N,139°48.8'E,88,1.0,千葉県南東沖
2022,3,11,02:25,32.2,34°5.3'N,135°5.0'E,6,0.1,紀伊水道
2022,3,11,02:27,47.3,26°49.4'N,126°25.3'E,15,2.1,沖縄本島北西沖
2022,3,11,02:28,9.6,34°50.9'N,141°56.2'E,27,2.4,関東東方沖
2022,3,11,02:29,47.6,39°24.8'N,143°37.8'E,10,1.5,三陸沖
2022,3,11,02:30,28.4,37°30.5'N,137°17.8'E,13,2.6,石川県能登地方

2022,3,11,02:31,7.9,40°39.9'N,140°49.5'E,3,-0.2,青森県津軽北部
2022,3,11,02:33,18.7,44°0.8'N,145°52.0'E,118,1.6,国後島付近
2022,3,11,02:34,22.4,34°59.5'N,139°42.6'E,46,1.1,伊豆大島近海
2022,3,11,02:35,19.8,34°0.1'N,135°7.6'E,8,-0.2,紀伊水道
2022,3,11,02:36,9.3,40°22.3'N,142°13.1'E,41,0.3,岩手県沖
2022,3,11,02:36,17.5,35°14.4'N,135°41.6'E,14,0.0,京都府南部
2022,3,11,02:36,53.2,33°30.6'N,134°1.5'E,11,0.1,高知県東部
2022,3,11,02:37,50.4,39°39.4'N,140°46.9'E,10,0.2,秋田県内陸南部
2022,3,11,02:47,32.2,34°3.6'N,135°8.6'E,7,-0.2,紀伊水道
2022,3,11,02:48,7.4,32°42.0'N,132°2.4'E,39,1.1,日向灘

2022,3,11,02:48,27.8,42°45.7'N,142°52.9'E,79,0.4,十勝地方中部
2022,3,11,02:48,40.6,45°58.1'N,153°5.6'E,141,3.1,千島列島
2022,3,11,02:49,58.8,33°50.7'N,134°58.2'E,12,0.6,紀伊水道
2022,3,11,02:50,50.6,37°30.4'N,137°12.5'E,10,0.4,石川県能登地方
2022,3,11,02:52,23.1,34°54.0'N,134°25.2'E,17,0.0,兵庫県南西部
2022,3,11,02:53,48.0,40°4.2'N,142°3.4'E,40,0.4,岩手県沖
2022,3,11,02:54,16.3,33°15.6'N,134°0.2'E,4,1.2,土佐湾
2022,3,11,02:54,52.3,36°46.8'N,140°33.7'E,9,0.1,茨城県北部
2022,3,11,02:55,9.2,40°29.1'N,141°30.5'E,80,1.3,青森県三八上北地方
2022,3,11,02:55,50.5,35°5.9'N,137°20.4'E,42,0.0,愛知県西部

2022,3,11,02:57,37.1,38°53.3'N,140°51.0'E,8,0.3,宮城県北部
2022,3,11,02:58,49.3,32°18.6'N,129°46.8'E,13,2.3,天草灘
2022,3,11,03:03,22.5,37°49.6'N,142°27.4'E,20,1.7,宮城県沖
2022,3,11,03:03,47.7,34°0.1'N,135°20.7'E,5,-0.3,和歌山県北部
2022,3,11,03:07,21.9,26°48.5'N,126°26.5'E,28,3.4,沖縄本島北西沖
2022,3,11,03:09,49.0,35°49.1'N,137°9.3'E,11,0.2,岐阜県飛騨地方
2022,3,11,03:09,54.9,33°50.6'N,134°58.0'E,12,0.5,紀伊水道
2022,3,11,03:10,35.5,37°30.3'N,137°12.6'E,11,0.2,石川県能登地方
2022,3,11,03:13,51.2,37°30.4'N,137°17.8'E,13,3.3,石川県能登地方
2022,3,11,03:14,57.3,38°21.8'N,141°47.4'E,58,1.7,宮城県沖

2022,3,11,03:16,6.8,32°36.9'N,131°15.8'E,12,0.9,宮崎県北部山沿い
2022,3,11,03:18,36.2,31°25.3'N,130°34.3'E,143,1.7,鹿児島湾
2022,3,11,03:22,33.6,34°56.3'N,135°26.9'E,9,-0.1,兵庫県南東部
2022,3,11,03:26,37.4,36°9.8'N,136°45.8'E,2,0.2,石川県加賀地方
2022,3,11,03:30,13.9,39°24.9'N,143°37.7'E,10,1.1,三陸沖
2022,3,11,03:32,53.9,36°9.6'N,136°46.0'E,4,0.3,石川県加賀地方
2022,3,11,03:34,27.0,28°13.8'N,129°35.7'E,17,0.2,奄美大島近海
2022,3,11,03:36,13.6,37°0.4'N,139°25.8'E,7,-0.1,福島県会津
2022,3,11,03:36,18.1,37°30.9'N,137°12.3'E,13,0.6,石川県能登地方
2022,3,11,03:37,8.3,35°42.7'N,138°14.2'E,10,-0.5,山梨県中・西部

2022,3,11,03:39,22.3,36°13.2'N,142°11.8'E,3,2.0,茨城県沖
2022,3,11,03:39,36.9,35°41.0'N,138°56.6'E,15,0.1,山梨県東部・富士五湖
2022,3,11,03:39,40.0,38°53.5'N,140°51.9'E,7,-0.2,宮城県北部
2022,3,11,03:42,21.5,36°29.2'N,137°58.6'E,12,-0.5,長野県北部
2022,3,11,03:43,33.5,31°37.8'N,130°57.5'E,7,2.2,鹿児島県大隅地方
2022,3,11,03:44,25.2,39°2.4'N,142°25.8'E,27,1.6,岩手県沖
2022,3,11,03:44,35.1,31°37.9'N,130°57.6'E,7,0.1,鹿児島県大隅地方
2022,3,11,03:45,1.1,39°28.2'N,142°26.8'E,32,0.7,岩手県沖
2022,3,11,03:45,47.3,36°54.4'N,140°43.5'E,7,0.6,福島県浜通り
2022,3,11,03:46,54.0,37°31.0'N,137°16.8'E,11,1.2,石川県能登地方

2022,3,11,03:50,36.0,36°22.0'N,137°37.4'E,1,0.8,長野県北部
2022,3,11,03:51,14.5,36°22.2'N,137°37.5'E,4,0.0,長野県北部
2022,3,11,03:52,30.9,32°33.5'N,130°39.7'E,11,0.0,熊本県熊本地方
2022,3,11,03:58,13.4,36°48.3'N,138°44.1'E,6,0.4,新潟県中越地方
2022,3,11,03:58,38.2,36°2.5'N,137°54.0'E,5,-0.3,長野県中部
2022,3,11,03:58,40.6,26°48.6'N,126°25.3'E,19,1.8,沖縄本島北西沖
2022,3,11,04:02,41.7,38°19.2'N,142°21.5'E,37,0.9,宮城県沖
2022,3,11,04:08,7.8,37°29.6'N,137°12.8'E,10,0.7,石川県能登地方
2022,3,11,04:15,37.8,37°23.8'N,141°48.4'E,41,1.0,福島県沖
2022,3,11,04:16,26.0,37°12.8'N,142°10.7'E,20,1.5,福島県沖

2022,3,11,04:20,16.0,37°30.3'N,137°17.7'E,10,0.8,石川県能登地方
2022,3,11,04:20,45.8,32°41.8'N,132°2.8'E,40,1.0,日向灘
2022,3,11,04:21,54.6,34°2.3'N,139°22.4'E,10,1.2,三宅島近海
2022,3,11,04:23,59.8,36°26.1'N,137°43.9'E,2,0.4,長野県北部
2022,3,11,04:25,41.5,27°53.0'N,128°51.9'E,8,1.5,奄美大島近海
2022,3,11,04:28,10.1,38°7.0'N,138°49.3'E,21,1.3,新潟県下越沖
2022,3,11,04:32,17.6,37°23.8'N,141°44.0'E,50,1.1,福島県沖
2022,3,11,04:33,6.6,38°43.4'N,142°30.6'E,29,1.1,宮城県沖
2022,3,11,04:33,34.3,33°58.2'N,135°5.3'E,6,-0.1,和歌山県北部
2022,3,11,04:33,39.4,24°54.2'N,124°1.8'E,0,1.7,石垣島近海

2022,3,11,04:33,41.2,37°18.1'N,141°23.9'E,10,0.9,福島県沖
2022,3,11,04:36,4.5,31°35.0'N,129°28.2'E,12,0.2,薩摩半島西方沖
2022,3,11,04:38,0.6,41°1.9'N,139°8.1'E,12,1.1,青森県西方沖
2022,3,11,04:39,53.0,33°56.7'N,135°14.0'E,6,0.4,和歌山県北部
2022,3,11,04:42,19.5,34°48.4'N,139°13.5'E,12,0.1,伊豆大島近海
2022,3,11,04:44,15.2,37°38.3'N,144°15.8'E,24,2.1,福島県沖
2022,3,11,04:48,56.5,32°51.3'N,132°8.7'E,8,0.6,豊後水道
2022,3,11,04:49,51.0,35°26.2'N,135°56.0'E,6,0.0,滋賀県北部
2022,3,11,04:50,36.4,32°41.1'N,132°1.2'E,42,0.0,日向灘
2022,3,11,04:55,27.2,37°43.1'N,141°40.7'E,51,1.0,福島県沖

2022,3,11,04:55,33.3,36°38.5'N,137°38.2'E,1,0.6,富山県東部
2022,3,11,04:55,55.7,29°18.0'N,129°22.9'E,23,1.2,トカラ列島近海
2022,3,11,04:56,4.2,40°34.0'N,140°22.6'E,8,0.6,青森県津軽南部
2022,3,11,05:02,11.9,34°56.8'N,138°15.7'E,21,0.1,静岡県中部
2022,3,11,05:02,37.7,39°7.5'N,140°53.8'E,10,0.1,岩手県内陸南部
2022,3,11,05:07,12.9,35°16.7'N,137°37.9'E,5,-0.3,長野県南部
2022,3,11,05:10,51.6,27°49.0'N,129°10.6'E,37,1.8,奄美大島近海
2022,3,11,05:10,58.8,43°36.3'N,142°29.4'E,6,-0.1,上川地方中部
2022,3,11,05:13,13.2,34°55.5'N,137°36.7'E,13,0.0,愛知県東部
2022,3,11,05:14,22.4,39°58.6'N,140°32.7'E,2,-0.2,秋田県内陸北部

2022,3,11,05:15,50.2,39°24.8'N,143°36.8'E,12,-,三陸沖
2022,3,11,05:16,15.5,39°24.5'N,143°36.9'E,13,2.4,三陸沖
2022,3,11,05:19,1.7,41°10.6'N,141°10.0'E,96,0.6,陸奥湾
2022,3,11,05:19,37.5,27°53.3'N,128°52.0'E,8,1.8,奄美大島近海
2022,3,11,05:20,43.7,37°29.3'N,137°11.9'E,10,0.7,石川県能登地方
2022,3,11,05:20,45.0,39°32.5'N,144°14.7'E,43,0.6,三陸沖
2022,3,11,05:22,27.2,37°31.7'N,137°18.4'E,12,0.2,石川県能登地方
2022,3,11,05:22,51.5,33°59.8'N,135°10.0'E,3,0.2,和歌山県北部
2022,3,11,05:27,28.9,27°52.9'N,128°52.9'E,9,0.9,奄美大島近海
2022,3,11,05:29,7.4,34°21.6'N,134°39.1'E,7,0.5,播磨灘

