year,month,day,time,second,lat,lon,depth,mag,city
2022,3,2,00:00,1.9,34°11.4'N,135°25.3'E,6,0.2,和歌山県北部
2022,3,2,00:00,42.9,36°36.8'N,139°22.0'E,10,1.0,群馬県南部
2022,3,2,00:01,8.9,36°36.9'N,139°21.9'E,11,0.6,群馬県南部
2022,3,2,00:02,57.2,35°9.4'N,132°41.1'E,9,0.7,島根県東部
2022,3,2,00:03,13.9,36°36.2'N,139°21.8'E,10,0.4,群馬県南部
2022,3,2,00:03,59.8,37°18.0'N,141°26.3'E,23,1.3,福島県沖
2022,3,2,00:12,43.1,32°21.4'N,131°52.5'E,17,1.1,日向灘
2022,3,2,00:16,47.3,36°8.4'N,140°4.9'E,65,0.6,茨城県南部
2022,3,2,00:21,59.4,40°41.7'N,140°26.7'E,12,1.0,青森県津軽南部
2022,3,2,00:23,15.0,31°41.9'N,130°10.2'E,8,0.5,薩摩半島西方沖

2022,3,2,00:29,5.5,39°2.1'N,140°52.1'E,10,1.1,岩手県内陸南部
2022,3,2,00:31,0.9,39°1.2'N,142°22.2'E,26,1.1,岩手県沖
2022,3,2,00:32,4.1,37°14.0'N,142°15.8'E,21,1.2,福島県沖
2022,3,2,00:34,19.0,36°31.2'N,139°20.3'E,120,1.3,群馬県南部
2022,3,2,00:34,31.9,37°26.5'N,141°57.4'E,39,1.5,福島県沖
2022,3,2,00:36,27.9,37°50.8'N,141°48.0'E,44,1.7,福島県沖
2022,3,2,00:37,9.4,32°22.5'N,130°40.6'E,12,0.8,熊本県熊本地方
2022,3,2,00:37,59.5,33°55.3'N,135°10.0'E,7,0.5,和歌山県北部
2022,3,2,00:45,57.6,27°9.5'N,128°19.3'E,40,0.7,沖縄本島近海
2022,3,2,00:52,37.9,28°50.2'N,130°3.1'E,18,1.4,奄美大島北東沖

2022,3,2,00:54,38.0,38°12.9'N,142°28.3'E,21,1.3,宮城県沖
2022,3,2,00:56,37.2,43°47.1'N,148°30.5'E,30,3.7,択捉島南東沖
2022,3,2,00:56,42.5,35°39.3'N,140°12.0'E,65,1.0,千葉県北西部
2022,3,2,01:00,49.9,35°13.0'N,139°56.8'E,28,1.0,千葉県南部
2022,3,2,01:02,49.2,36°22.0'N,137°37.7'E,3,-0.3,長野県北部
2022,3,2,01:03,26.1,34°53.8'N,138°13.6'E,28,0.4,静岡県中部
2022,3,2,01:03,38.4,37°24.1'N,141°55.1'E,34,1.1,福島県沖
2022,3,2,01:08,36.5,36°56.6'N,139°40.9'E,7,0.1,栃木県北部
2022,3,2,01:11,46.0,35°26.5'N,138°56.2'E,22,-0.1,神奈川県西部
2022,3,2,01:12,48.5,30°26.5'N,131°19.8'E,28,1.6,種子島近海

2022,3,2,01:14,39.6,35°9.6'N,138°17.3'E,24,0.2,静岡県中部
2022,3,2,01:20,31.8,37°18.9'N,138°19.6'E,18,0.9,新潟県上中越沖
2022,3,2,01:22,42.1,35°33.2'N,140°58.1'E,31,0.8,千葉県東方沖
2022,3,2,01:23,36.5,32°40.9'N,132°0.1'E,40,0.7,日向灘
2022,3,2,01:25,10.6,32°34.2'N,130°43.1'E,7,0.7,熊本県熊本地方
2022,3,2,01:25,50.9,34°7.7'N,135°22.6'E,7,-0.1,和歌山県北部
2022,3,2,01:29,6.2,39°11.8'N,140°57.7'E,33,0.4,岩手県内陸南部
2022,3,2,01:32,21.7,36°36.0'N,140°16.2'E,102,1.5,茨城県北部
2022,3,2,01:32,44.6,36°12.9'N,137°57.5'E,9,-0.5,長野県中部
2022,3,2,01:33,50.7,26°43.8'N,126°23.8'E,34,2.0,沖縄本島北西沖

2022,3,2,01:34,48.3,41°41.2'N,142°53.2'E,32,1.0,浦河沖
2022,3,2,01:35,13.4,37°2.3'N,140°36.7'E,7,0.4,福島県中通り
2022,3,2,01:36,7.3,36°35.8'N,137°50.9'E,10,-0.2,長野県北部
2022,3,2,01:36,22.4,40°37.4'N,136°18.5'E,47,4.0,日本海中部
2022,3,2,01:36,34.3,37°30.9'N,137°15.7'E,15,0.7,石川県能登地方
2022,3,2,01:40,19.4,36°36.7'N,139°21.7'E,10,0.7,群馬県南部
2022,3,2,01:40,30.2,36°36.5'N,139°21.9'E,10,0.4,群馬県南部
2022,3,2,01:42,7.9,36°36.5'N,139°21.7'E,9,0.3,群馬県南部
2022,3,2,01:42,13.3,38°58.7'N,140°53.6'E,7,0.1,岩手県内陸南部
2022,3,2,01:44,29.2,34°3.0'N,135°16.9'E,6,1.1,和歌山県北部

2022,3,2,01:45,14.4,37°17.3'N,141°11.5'E,27,1.1,福島県沖
2022,3,2,01:46,53.6,31°51.0'N,129°55.4'E,13,0.8,薩摩半島西方沖
2022,3,2,01:59,35.3,36°36.8'N,139°22.3'E,11,-,群馬県南部
2022,3,2,01:59,37.1,36°36.7'N,139°22.2'E,11,0.6,群馬県南部
2022,3,2,01:59,50.6,31°37.1'N,138°13.7'E,66,3.0,鳥島近海
2022,3,2,02:02,16.0,38°20.1'N,141°35.5'E,18,0.6,宮城県沖
2022,3,2,02:04,21.2,35°58.1'N,141°7.6'E,11,1.3,茨城県沖
2022,3,2,02:04,48.2,38°55.5'N,140°52.1'E,6,0.8,宮城県北部
2022,3,2,02:06,25.5,34°52.4'N,135°31.1'E,11,0.6,大阪府北部
2022,3,2,02:06,39.6,32°30.8'N,130°34.9'E,12,0.3,熊本県熊本地方

2022,3,2,02:14,55.9,39°6.1'N,142°23.1'E,19,0.9,岩手県沖
2022,3,2,02:17,49.4,43°18.0'N,141°50.8'E,162,1.9,空知地方南部
2022,3,2,02:18,50.9,36°29.2'N,141°38.0'E,27,2.0,茨城県沖
2022,3,2,02:19,18.5,45°0.8'N,141°37.3'E,0,1.5,北海道北西沖
2022,3,2,02:21,10.9,36°28.1'N,141°38.6'E,21,1.4,茨城県沖
2022,3,2,02:25,14.5,36°12.8'N,136°6.7'E,15,0.6,福井県沖
2022,3,2,02:25,42.3,36°29.3'N,141°38.2'E,27,2.1,茨城県沖
2022,3,2,02:26,13.0,32°18.9'N,130°30.8'E,6,0.1,熊本県天草・芦北地方
2022,3,2,02:26,26.2,36°28.3'N,141°39.0'E,19,1.9,茨城県沖
2022,3,2,02:27,15.2,35°51.3'N,137°40.0'E,11,0.1,長野県南部

2022,3,2,02:31,21.3,41°52.9'N,142°8.8'E,72,1.5,浦河沖
2022,3,2,02:32,3.8,35°24.0'N,140°24.8'E,56,1.0,千葉県東方沖
2022,3,2,02:34,8.2,34°48.0'N,130°49.7'E,19,1.2,山口県北西沖
2022,3,2,02:34,59.5,35°35.4'N,136°40.9'E,9,0.0,岐阜県美濃中西部
2022,3,2,02:35,53.3,37°2.6'N,139°20.6'E,7,0.8,福島県会津
2022,3,2,02:36,22.0,34°5.3'N,135°19.7'E,6,0.3,和歌山県北部
2022,3,2,02:36,29.3,38°55.4'N,140°52.2'E,5,0.2,宮城県北部
2022,3,2,02:43,49.3,32°21.5'N,131°52.3'E,19,1.1,日向灘
2022,3,2,02:45,16.0,31°33.9'N,130°19.8'E,5,-0.4,薩摩半島西方沖
2022,3,2,02:51,58.7,32°5.6'N,131°49.7'E,20,1.1,日向灘

2022,3,2,02:52,22.1,36°18.1'N,141°2.2'E,46,1.3,茨城県沖
2022,3,2,02:53,31.9,34°5.2'N,135°19.6'E,6,1.9,和歌山県北部
2022,3,2,02:55,13.4,34°5.3'N,135°19.7'E,6,0.8,和歌山県北部
2022,3,2,02:55,30.6,46°13.4'N,144°53.9'E,380,2.9,オホーツク海南部
