year,month,day,time,second,lat,lon,depth,mag,city
2022,3,19,00:00,59.1,45°51.0'N,150°9.4'E,30,3.2,千島列島
2022,3,19,00:01,42.8,39°59.4'N,142°0.5'E,18,1.1,岩手県沖
2022,3,19,00:01,48.3,37°50.2'N,141°41.1'E,56,1.0,福島県沖
2022,3,19,00:03,10.3,37°54.4'N,141°41.2'E,55,3.5,宮城県沖
2022,3,19,00:05,9.4,39°27.6'N,139°22.3'E,17,2.6,秋田県沖
2022,3,19,00:05,19.3,33°50.9'N,135°25.1'E,42,0.9,和歌山県北部
2022,3,19,00:06,43.3,42°4.3'N,142°30.0'E,54,0.9,浦河沖
2022,3,19,00:06,59.9,39°36.2'N,142°6.1'E,45,0.7,岩手県沖
2022,3,19,00:07,1.0,37°50.7'N,141°36.9'E,46,1.4,福島県沖
2022,3,19,00:07,12.7,37°51.8'N,141°39.7'E,53,1.7,福島県沖

2022,3,19,00:08,8.3,37°44.1'N,141°33.6'E,50,1.3,福島県沖
2022,3,19,00:09,26.1,37°41.8'N,141°34.9'E,55,1.9,福島県沖
2022,3,19,00:09,27.4,39°11.1'N,143°18.8'E,9,1.6,三陸沖
2022,3,19,00:11,2.2,37°44.5'N,139°55.1'E,8,1.0,福島県会津
2022,3,19,00:12,13.5,40°1.1'N,141°55.3'E,7,0.8,岩手県沖
2022,3,19,00:12,30.8,37°53.0'N,141°41.0'E,54,2.0,宮城県沖
2022,3,19,00:13,18.6,40°1.4'N,141°56.3'E,13,0.5,岩手県沖
2022,3,19,00:13,29.4,37°38.9'N,141°32.2'E,53,3.0,福島県沖
2022,3,19,00:13,56.7,32°5.8'N,132°4.8'E,15,2.0,日向灘
2022,3,19,00:14,21.7,37°49.2'N,141°41.9'E,58,1.6,福島県沖

2022,3,19,00:15,31.7,39°58.7'N,142°0.4'E,15,0.9,岩手県沖
2022,3,19,00:17,20.5,39°59.9'N,141°59.7'E,16,1.0,岩手県沖
2022,3,19,00:17,54.2,39°59.4'N,141°57.8'E,14,0.3,岩手県沿岸北部
2022,3,19,00:17,56.1,37°55.3'N,141°41.9'E,51,1.0,宮城県沖
2022,3,19,00:19,37.9,37°48.7'N,141°38.1'E,54,3.0,福島県沖
2022,3,19,00:21,13.4,37°24.7'N,141°55.7'E,29,-,福島県沖
2022,3,19,00:22,5.9,37°32.7'N,137°18.7'E,15,1.3,能登半島沖
2022,3,19,00:22,24.2,37°50.0'N,141°38.8'E,54,1.3,福島県沖
2022,3,19,00:24,43.2,37°43.0'N,141°33.1'E,54,2.7,福島県沖
