year,month,day,time,second,lat,lon,depth,mag,city
2022,3,12,00:00,38.2,37°30.2'N,137°13.1'E,10,0.8,石川県能登地方
2022,3,12,00:02,6.0,35°24.0'N,133°50.6'E,11,0.8,鳥取県中部
2022,3,12,00:03,26.2,35°49.8'N,138°3.6'E,8,-0.4,長野県南部
2022,3,12,00:05,30.0,37°46.1'N,139°59.4'E,4,0.2,山形県置賜地方
2022,3,12,00:05,56.0,35°41.9'N,137°5.1'E,13,2.1,岐阜県飛騨地方
2022,3,12,00:07,51.7,32°48.6'N,130°34.9'E,12,0.1,有明海
2022,3,12,00:10,18.4,35°11.2'N,135°6.1'E,14,0.2,兵庫県南東部
2022,3,12,00:12,31.0,35°11.2'N,135°5.7'E,14,0.3,兵庫県南東部
2022,3,12,00:18,31.9,37°45.8'N,140°3.3'E,8,0.4,福島県会津
2022,3,12,00:20,56.4,38°33.9'N,142°11.1'E,37,1.1,宮城県沖

2022,3,12,00:24,53.3,38°52.8'N,142°25.9'E,34,1.0,宮城県沖
2022,3,12,00:26,7.6,33°28.5'N,135°42.2'E,22,0.3,和歌山県南方沖
2022,3,12,00:27,4.0,32°34.1'N,130°43.0'E,5,0.5,熊本県熊本地方
2022,3,12,00:27,46.1,37°42.6'N,141°42.3'E,53,1.1,福島県沖
2022,3,12,00:30,13.5,32°19.6'N,130°35.5'E,8,0.1,熊本県天草・芦北地方
2022,3,12,00:31,28.2,32°32.0'N,129°55.4'E,14,-0.2,天草灘
2022,3,12,00:36,30.1,34°5.3'N,135°7.3'E,6,0.5,和歌山県北部
2022,3,12,00:43,11.7,33°33.7'N,135°23.3'E,28,0.3,和歌山県南方沖
2022,3,12,00:43,32.2,33°46.8'N,135°33.7'E,19,-,和歌山県南部
2022,3,12,00:43,54.9,32°15.9'N,141°52.5'E,54,3.3,八丈島東方沖

2022,3,12,00:47,50.6,37°30.0'N,144°49.4'E,36,1.9,福島県沖
2022,3,12,00:48,10.5,37°18.7'N,141°32.5'E,9,1.3,福島県沖
2022,3,12,00:48,29.4,33°23.6'N,134°1.6'E,7,0.2,土佐湾
2022,3,12,00:51,7.7,34°3.3'N,136°54.7'E,17,0.9,三重県南東沖
2022,3,12,00:53,58.9,37°17.2'N,135°7.8'E,361,2.8,日本海中部
2022,3,12,00:59,34.4,32°43.5'N,132°3.7'E,41,0.2,日向灘
2022,3,12,01:01,26.5,35°26.8'N,139°0.5'E,21,3.5,神奈川県西部
2022,3,12,01:03,4.9,35°27.0'N,139°0.1'E,20,1.0,神奈川県西部
2022,3,12,01:03,54.8,32°21.4'N,131°52.7'E,17,0.4,日向灘
2022,3,12,01:04,9.2,35°27.2'N,138°59.9'E,20,1.0,神奈川県西部

2022,3,12,01:05,45.1,32°18.7'N,131°4.6'E,10,0.1,熊本県球磨地方
2022,3,12,01:07,47.6,39°25.7'N,142°21.0'E,49,0.2,岩手県沖
2022,3,12,01:08,25.2,35°26.9'N,139°0.5'E,20,0.8,神奈川県西部
2022,3,12,01:08,33.9,35°27.2'N,139°0.3'E,19,1.2,神奈川県西部
2022,3,12,01:09,49.2,36°37.9'N,139°29.4'E,9,-0.3,栃木県北部
2022,3,12,01:16,49.7,37°30.5'N,137°12.5'E,10,0.5,石川県能登地方
2022,3,12,01:17,17.2,35°27.0'N,139°0.1'E,20,1.2,神奈川県西部
2022,3,12,01:27,40.7,37°19.3'N,142°18.0'E,16,1.7,福島県沖
2022,3,12,01:31,44.7,32°18.3'N,131°4.9'E,12,-0.1,熊本県球磨地方
